id,username,email,role,make,acceleration,top_speed,electric_range,total_power,total_torque,drive,battery_capacity,length,width,height,wheelbase,gross_vehicle_weight,max_payload,cargo_volume,seats,maintenance_cost,pincode,date,time,latitude,longitude,vehicle_status,battery_level,range
15,dawnnelson,dawnnelson@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1554.91,48650,2024-10-06,21:38:58,-16.403399,40.695727,0,1,4.7
16,charlesgreene,charlesgreene@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3830.81,77571,2024-04-26,10:34:06,76.311144,108.62334,1,9,38.25
17,santosross,santosross@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4139.88,82143,2024-10-05,03:23:59,86.664333,114.142349,1,65,305.5
18,muellermichael,muellermichael@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4309.56,24154,2024-03-08,14:16:26,15.070528,-104.824401,0,87,369.75
19,clarkdavid,clarkdavid@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2255.54,23245,2024-08-11,06:42:07,85.096531,-127.209122,0,23,111.55
20,woodwardrichard,woodwardrichard@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2225.0,80685,2024-04-26,07:16:04,11.878468,-145.049792,0,73,354.05
21,susan21,susan21@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1629.77,42216,2024-03-12,22:56:19,63.278039,117.20724,1,62,263.5
22,andrew17,andrew17@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2064.97,77901,2024-10-10,22:56:52,-68.027538,-126.402776,0,86,417.1
23,carlherrera,carlherrera@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4841.97,51904,2024-04-14,19:54:30,7.362995,50.414593,0,73,328.5
24,kelleyjamie,kelleyjamie@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3951.6,44083,2024-01-24,07:50:36,36.32511,-71.46963,0,2,9.2
25,laurenhorne,laurenhorne@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1941.62,21317,2024-10-16,16:21:20,27.774773,-164.544516,0,76,357.2
26,murrayanthony,murrayanthony@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2803.23,69451,2024-04-16,20:15:09,-87.746349,61.04174,1,9,40.5
27,wesleyaguilar,wesleyaguilar@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1688.81,08988,2024-07-24,22:46:30,38.289359,138.189387,0,25,106.25
28,tammybrown,tammybrown@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2682.35,79542,2024-06-12,04:45:17,69.652856,-116.556333,0,46,207.0
29,markkerr,markkerr@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1203.33,48180,2024-04-28,11:35:44,85.475572,-59.519694,1,64,294.4
30,thomas02,thomas02@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1679.32,03667,2024-05-26,07:12:28,75.861675,61.56533,0,74,314.5
31,tabithahernandez,tabithahernandez@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4133.05,48788,2024-11-25,19:33:26,43.240632,-98.801526,1,7,32.2
32,ohamilton,ohamilton@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1006.93,62855,2024-01-23,22:06:34,-54.823666,-146.035745,0,49,208.25
33,bgonzalez,bgonzalez@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1227.93,66728,2024-06-14,08:23:38,-58.614461,-67.048262,1,79,363.4
34,katherine37,katherine37@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3007.78,24952,2024-05-01,17:58:43,53.070587,167.569852,1,5,22.5
35,adamsrebecca,adamsrebecca@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1549.12,20189,2024-10-05,02:10:07,-36.772895,-120.067057,1,73,343.1
36,jeanetteprince,jeanetteprince@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2705.45,16884,2024-02-03,23:55:34,-78.122737,-32.076818,1,47,227.95
37,hallkelly,hallkelly@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2197.56,34164,2024-09-23,04:26:54,-87.088915,83.605737,0,91,386.75
38,hannahmcdaniel,hannahmcdaniel@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4928.13,69845,2024-05-20,04:28:13,-68.075299,83.289614,1,61,295.85
39,rmullen,rmullen@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2007.53,38988,2024-08-21,11:45:05,67.51747,174.937623,1,97,446.2
40,cheryl87,cheryl87@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1567.88,61320,2024-11-21,05:50:10,-7.48379,-105.644385,0,61,274.5
41,ramoselizabeth,ramoselizabeth@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3622.07,84184,2024-09-25,23:47:38,86.753137,-179.145613,1,78,378.3
42,riosamy,riosamy@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4284.15,87233,2024-06-21,08:49:31,21.902208,-114.796471,1,31,142.6
43,hodgesstephanie,hodgesstephanie@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2100.18,23722,2024-07-27,20:13:13,44.047221,127.94383,1,95,437.0
44,nathannguyen,nathannguyen@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1547.32,16059,2024-06-19,12:58:01,87.933287,-75.927466,1,96,432.0
45,halldavid,halldavid@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2144.74,43930,2024-01-15,06:21:41,65.957761,-154.925058,0,45,191.25
46,suzanneboyer,suzanneboyer@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2197.33,50624,2024-04-29,14:43:51,12.774544,160.648437,0,60,282.0
47,aburton,aburton@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1111.86,97766,2024-08-05,20:18:29,89.202279,-6.849613,0,32,150.4
48,brittany74,brittany74@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1093.29,76257,2024-09-17,20:44:11,85.83856,9.375935,1,26,126.1
49,shawbrian,shawbrian@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2427.49,06063,2024-04-16,13:28:02,-61.252741,-68.265401,0,25,106.25
50,oconnorpamela,oconnorpamela@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1437.45,12005,2024-08-04,08:46:11,2.915444,-153.770213,1,96,432.0
51,matthewhess,matthewhess@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3323.42,81211,2024-11-03,21:08:14,-62.090492,113.432642,0,85,361.25
52,xschmidt,xschmidt@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3869.65,99194,2024-08-13,22:49:57,-78.467638,-154.85831,1,53,238.5
53,blake92,blake92@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4150.39,17278,2024-09-20,16:08:15,66.179285,-178.998319,1,15,67.5
54,kgonzalez,kgonzalez@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3563.48,77689,2024-06-10,19:19:47,59.048103,144.326507,0,12,51.0
55,greenedonald,greenedonald@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3478.13,07240,2024-01-13,03:03:16,-81.049651,-174.098482,1,86,387.0
56,juanturner,juanturner@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2003.53,03003,2024-07-15,20:51:15,-84.26578,6.338604,0,6,29.1
57,fmann,fmann@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4818.91,65583,2024-10-19,13:24:42,22.422049,-60.811596,1,64,300.8
58,kimberly98,kimberly98@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3919.19,76295,2024-09-01,02:55:54,-30.704151,-12.090449,0,59,286.15
59,zharris,zharris@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1292.59,72687,2024-02-17,09:01:44,-24.633774,56.552595,1,78,358.8
60,ricardo46,ricardo46@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4622.47,76372,2024-02-03,19:16:05,-22.257991,-77.687226,0,49,225.4
61,stephanieandrade,stephanieandrade@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3780.3,95314,2024-07-01,21:24:01,-21.299116,-87.274423,0,95,427.5
62,vjones,vjones@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3272.23,33589,2024-10-21,08:03:44,55.212009,-134.012752,0,28,131.6
63,lopezaaron,lopezaaron@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3116.86,95440,2024-08-09,16:12:38,-67.572186,160.947231,1,65,292.5
64,joshua70,joshua70@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4550.7,62760,2024-11-09,16:54:37,-14.458887,166.758715,0,93,437.1
65,wthompson,wthompson@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3216.47,64369,2024-04-11,03:50:06,0.700067,-141.513163,0,67,284.75
66,theresarodriguez,theresarodriguez@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3188.16,46307,2024-07-16,06:37:24,70.259405,58.775407,1,48,232.8
67,tnelson,tnelson@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3743.75,05781,2024-05-14,22:21:52,-43.446578,155.654015,0,18,81.0
68,kimberly51,kimberly51@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3542.46,69567,2024-08-06,09:43:48,-27.861679,86.618117,0,72,306.0
69,calderonderrick,calderonderrick@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2863.94,58692,2024-07-10,11:57:31,-62.766199,-143.54502,0,9,42.3
70,grantmark,grantmark@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1700.78,89814,2024-02-08,03:22:43,2.820985,0.895594,0,57,242.25
71,deleonshannon,deleonshannon@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1707.31,28129,2024-11-20,03:22:59,36.072642,-178.72911,1,2,9.4
72,carrolldenise,carrolldenise@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4752.34,95459,2024-05-29,15:43:15,75.737902,-77.30878,0,17,72.25
73,wharrell,wharrell@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2598.31,36057,2024-07-22,05:24:56,-51.266771,74.207739,0,75,363.75
74,thomasheath,thomasheath@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2223.88,10844,2024-10-01,20:48:32,-76.8519,-164.376511,0,90,414.0
75,josephnicholson,josephnicholson@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1403.17,05017,2024-07-23,08:25:52,-3.228931,68.503077,1,37,157.25
76,dmeyer,dmeyer@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4536.03,37059,2024-01-21,21:06:36,63.3793,-109.947378,1,92,414.0
77,fbailey,fbailey@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3167.69,37210,2024-06-01,23:32:50,-78.35332,-111.354579,1,79,371.3
78,briandean,briandean@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1533.18,66361,2024-11-16,00:51:23,46.79654,93.777664,1,77,361.9
79,philipadams,philipadams@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4935.39,41199,2024-08-16,21:48:26,84.172289,-15.723629,0,50,225.0
80,parksrebecca,parksrebecca@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1547.53,20011,2024-05-27,12:15:57,27.392722,102.055533,1,80,388.0
81,roberthowe,roberthowe@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3611.35,30624,2024-01-30,14:09:46,-2.641428,101.456155,1,67,324.95
82,riosscott,riosscott@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2710.19,27688,2024-05-12,16:34:20,-7.76008,85.213754,0,94,455.9
83,burkealex,burkealex@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3698.99,20820,2024-09-19,22:01:43,19.744456,13.921964,1,27,114.75
84,ljohnson,ljohnson@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2874.34,10352,2024-04-12,23:39:07,-84.270868,-15.449312,0,90,405.0
85,hansensonya,hansensonya@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2753.14,59628,2024-07-18,03:50:59,-38.881213,-91.125363,0,32,144.0
86,mcintyredonald,mcintyredonald@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2139.21,57668,2024-03-15,19:44:31,-66.912356,144.686325,1,73,354.05
87,adam96,adam96@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4496.79,63208,2024-02-16,16:03:33,80.060045,-28.574969,0,80,360.0
88,brendahoward,brendahoward@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1792.93,45425,2024-10-29,18:10:54,-26.718738,147.584871,1,53,257.05
89,christianamber,christianamber@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3769.99,55873,2024-01-15,01:27:16,41.094522,-126.810897,0,60,255.0
90,rioskristen,rioskristen@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2291.75,87006,2024-01-22,06:43:58,-63.957845,-4.889032,0,25,112.5
91,amberreynolds,amberreynolds@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2269.23,91133,2024-02-14,16:53:03,11.583,-123.990493,0,69,310.5
92,michael99,michael99@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2989.33,83297,2024-10-25,21:17:38,-70.997586,-56.282291,0,89,431.65
93,bateskelly,bateskelly@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3581.48,45258,2024-01-16,09:27:00,-50.450213,-37.721285,0,34,164.9
94,monroerichard,monroerichard@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2007.87,55102,2024-09-21,09:41:19,-24.130588,-114.321632,1,60,282.0
95,ewilson,ewilson@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3377.36,28641,2024-11-29,23:48:02,-32.192176,113.080283,1,43,182.75
96,gjoseph,gjoseph@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4571.07,70738,2024-03-02,13:09:23,-82.080339,122.006387,0,14,64.4
97,uberry,uberry@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2624.16,63252,2024-01-13,13:29:05,-85.526739,133.831062,0,60,291.0
98,dana37,dana37@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2107.45,87864,2024-05-30,04:30:15,29.560237,-123.365211,0,100,460.0
99,martinezpaul,martinezpaul@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1687.88,94722,2024-11-12,20:14:19,39.801996,-76.014375,0,31,150.35
100,zvaughan,zvaughan@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1165.63,18450,2024-05-01,17:30:05,-67.797161,78.659874,0,47,199.75
101,sarahmiller,sarahmiller@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1742.11,19290,2024-04-22,15:04:12,-34.348796,-31.74566,0,14,64.4
102,wrodriguez,wrodriguez@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1767.84,36505,2024-06-10,06:15:40,66.43706,26.671733,1,88,426.8
103,gwatkins,gwatkins@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4671.55,39840,2024-02-22,18:26:57,60.368636,11.815125,1,32,155.2
104,anthonyfigueroa,anthonyfigueroa@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2431.41,74876,2024-11-25,01:52:25,7.035067,-45.451305,0,49,230.3
105,kristafritz,kristafritz@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1864.05,86315,2024-03-01,19:36:01,32.728379,125.958589,0,7,32.9
106,qbenjamin,qbenjamin@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3218.62,03182,2024-02-04,21:35:02,56.70708,-78.138199,1,23,103.5
107,scurry,scurry@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1640.65,69129,2024-01-23,02:18:53,27.492814,-123.029466,1,41,174.25
108,vramos,vramos@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4086.31,37650,2024-10-06,03:24:00,47.336012,70.702414,0,49,225.4
109,barnettaaron,barnettaaron@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3181.52,38400,2024-05-15,09:29:39,-78.734582,-161.017625,0,23,105.8
110,smithsara,smithsara@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2990.27,51155,2024-07-27,09:30:26,4.942438,111.994086,1,60,276.0
111,robert73,robert73@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2529.95,68009,2024-07-17,06:52:35,86.303146,-176.07247,0,61,286.7
112,rachaelstephens,rachaelstephens@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4454.02,32027,2024-08-18,11:56:32,-65.198847,-155.537625,0,38,178.6
113,smithlynn,smithlynn@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4623.56,58664,2024-06-29,05:56:11,-29.880568,92.722776,0,62,279.0
114,clarkjamie,clarkjamie@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4625.19,63737,2024-01-08,14:58:02,57.860836,-101.406135,0,16,72.0
115,terryreynolds,terryreynolds@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4846.73,18271,2024-02-21,20:11:22,-80.704708,7.705699,1,51,234.6
116,arnoldbrandi,arnoldbrandi@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3406.52,13921,2024-06-10,08:51:31,-69.780611,53.001837,1,59,250.75
117,pamelabailey,pamelabailey@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1616.24,13567,2024-08-29,11:56:32,-66.487862,-165.974159,1,76,357.2
118,jennifer28,jennifer28@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1001.43,74690,2024-07-10,22:20:32,55.582341,-115.654939,1,69,293.25
119,hstewart,hstewart@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4534.8,04421,2024-09-12,07:22:57,17.703421,35.530714,1,88,426.8
120,bryantgabriela,bryantgabriela@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1904.83,49969,2024-04-13,13:34:39,33.296621,-10.209733,1,27,124.2
121,april41,april41@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3666.0,81607,2024-10-12,22:16:47,-2.570927,-175.382579,0,79,355.5
122,cgolden,cgolden@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2738.26,69548,2024-04-26,11:03:10,-40.076836,-99.858703,0,72,324.0
123,kaufmanmax,kaufmanmax@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3329.28,79840,2024-07-20,13:29:45,36.05181,-131.489106,1,92,391.0
